"country","local_id","global_id","type","day","month","year","participant_age","participant_gender","participant_occupation","participant_occ_detail","participant_education","participant_edu_length","participant_school_year","participant_nationality","hh_size","hh_age_1","hh_age_2","hh_age_3","hh_age_4","hh_age_5","hh_age_6","hh_age_7","hh_age_8","hh_age_9","hh_age_10","hh_age_11","hh_age_12","hh_age_13","hh_age_14","hh_age_15","hh_age_16","hh_age_17","hh_age_18","hh_age_19","hh_age_20","class_size","work_contacts","work_contacts_nr","child_care","child_care_detail","child_relationship","child_nationality","problems","diary_how","diary_missed_unsp","diary_missed_skin","diary_missed_noskin","diary_weight","dayofweek","weekday","holiday","cnt_count"
"BE",33118,132472,1,25,10,2010,71,"M",2,NA,6,NA,NA,"BE",2,61,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BE",NA,NA,1,NA,NA,NA,1,"Y","N",5
"BE",36037,144148,1,15,11,2010,44,"F",1,NA,5,NA,NA,"BE",3,18,47,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",20,NA,NA,NA,"BE",NA,NA,3,NA,NA,NA,1,"Y","N",54
"BE",36421,145684,1,28,10,2010,52,"F",1,NA,1,NA,NA,"BE",2,52,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,"BE","N",NA,1,NA,NA,NA,4,"Y","N",5
"BE",38226,152904,1,22,10,2010,78,"F",3,NA,4,NA,NA,"BE",1,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BE",NA,NA,1,NA,NA,NA,5,"Y","N",2
"BE",39743,158972,1,6,12,2010,87,"M",2,NA,3,NA,NA,"BE",1,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BE",NA,NA,1,NA,NA,NA,1,"Y","N",0
"BE",40026,160104,3,31,1,2011,3,"M",6,NA,5,NA,NA,"BE",3,3,33,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",2,NA,"BE",NA,NA,1,NA,NA,NA,1,"Y","N",6
"BE",40027,160108,3,27,1,2011,3,"F",5,NA,6,NA,NA,"BE",4,0,3,30,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,"Y",3,NA,"BE","N",NA,2,NA,NA,NA,4,"Y","N",19
"BE",40028,160112,3,6,2,2011,3,"M",5,NA,6,NA,NA,"BE",4,0,31,32,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,"Y",3,NA,"BE",NA,NA,1,NA,NA,NA,0,"N","N",9
"BE",40029,160116,3,26,1,2011,3,"F",5,NA,5,NA,NA,"BE",4,1,3,28,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,"Y",3,NA,"BE",NA,NA,1,NA,NA,NA,3,"Y","N",29
"BE",40030,160120,3,5,2,2011,4,"M",5,NA,6,NA,NA,"BE",4,2,4,31,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,"Y",3,NA,"BE",NA,NA,1,NA,NA,NA,6,"N","N",6
"BE",40032,160128,3,2,2,2011,5,"M",5,NA,6,NA,NA,"BE",4,5,5,42,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,"Y",3,NA,"BE","N",NA,4,NA,NA,NA,3,"Y","N",28
"BE",40033,160132,3,31,1,2011,8,"M",5,NA,5,NA,NA,"BE",4,37,34,8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,"Y",4,NA,"BE",NA,NA,3,NA,NA,NA,1,"Y","N",35
"BE",40034,160136,1,1,2,2011,80,"M",2,NA,1,NA,NA,"BE",2,80,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BE",NA,NA,1,NA,NA,NA,2,"Y","N",1
"BE",40036,160144,1,27,1,2011,83,"F",2,NA,5,NA,NA,"BE",2,83,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BE","N",NA,1,NA,NA,NA,4,"Y","N",2
"BE",41931,167724,3,27,10,2010,7,"M",5,NA,5,NA,NA,"BE",4,7,43,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,"Y",4,NA,"BE",NA,NA,2,NA,NA,NA,3,"Y","N",23
"BE",42430,169720,1,29,10,2010,69,"F",3,NA,1,NA,NA,"BE",2,59,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BE",NA,NA,1,NA,NA,NA,5,"Y","N",6
"BE",43226,172904,1,29,10,2010,65,"M",2,NA,3,NA,NA,"BE",1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BE","N",NA,1,NA,NA,NA,5,"Y","N",7
"BE",43404,173616,1,28,10,2010,20,"M",5,NA,3,NA,NA,"BE",5,16,20,23,49,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,"BE",NA,NA,4,NA,NA,NA,4,"Y","N",9
"BE",45114,180456,1,27,10,2010,84,"F",2,NA,1,NA,NA,"BE",1,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BE","N",NA,1,NA,NA,NA,3,"Y","N",2
