"country","local_id","global_id","type","day","month","year","participant_age","participant_gender","participant_occupation","participant_occ_detail","participant_education","participant_edu_length","participant_school_year","participant_nationality","hh_size","hh_age_1","hh_age_2","hh_age_3","hh_age_4","hh_age_5","hh_age_6","hh_age_7","hh_age_8","hh_age_9","hh_age_10","hh_age_11","hh_age_12","hh_age_13","hh_age_14","hh_age_15","hh_age_16","hh_age_17","hh_age_18","hh_age_19","hh_age_20","class_size","work_contacts","work_contacts_nr","child_care","child_care_detail","child_relationship","child_nationality","problems","diary_how","diary_missed_unsp","diary_missed_skin","diary_missed_noskin","diary_weight","dayofweek","weekday","holiday","cnt_count"
"BE",611896,2447584,3,28,10,2010,5,"M",5,NA,5,NA,NA,"BE",4,2,5,39,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,"Y",4,NA,"BE","N",NA,3,NA,NA,NA,4,"Y","N",17
"BE",616530,2466120,1,15,11,2010,60,"M",2,NA,5,NA,NA,"BE",1,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,"BE",NA,NA,1,NA,NA,NA,1,"Y","N",12
"BE",617467,2469868,1,16,11,2010,46,"F",1,NA,5,NA,NA,"BE",4,52,46,20,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,"BE",NA,NA,4,NA,NA,NA,2,"Y","N",60
"BE",617545,2470180,1,16,11,2010,39,"F",3,NA,3,NA,NA,"BE",3,45,39,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,"BE",NA,NA,1,NA,NA,NA,2,"Y","N",5
"BE",621307,2485228,1,26,10,2010,34,"M",1,NA,5,NA,NA,"BE",4,2,4,34,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",50,NA,NA,NA,"BE","N",NA,1,NA,NA,NA,2,"Y","N",63
"BE",621662,2486648,1,16,11,2010,22,"F",5,NA,5,NA,NA,"BE",3,22,63,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,"BE",NA,NA,2,NA,NA,NA,2,"Y","N",16
"BE",624215,2496860,1,17,11,2010,80,"F",3,NA,2,NA,NA,"BE",2,80,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BE",NA,NA,1,NA,NA,NA,3,"Y","N",2
"BE",625175,2500700,1,18,11,2010,45,"F",NA,NA,4,NA,NA,"BE",2,45,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,"BE",NA,NA,4,NA,NA,NA,4,"Y","N",15
"BE",625820,2503280,1,27,10,2010,41,"F",1,NA,3,NA,NA,"BE",4,42,41,17,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",10,NA,NA,NA,"BE",NA,NA,2,NA,NA,NA,3,"Y","N",10
"BE",628628,2514512,1,27,11,2010,25,"M",1,NA,5,NA,NA,"BE",5,20,22,25,48,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,"BE",NA,NA,1,NA,NA,NA,6,"N","N",11
"BE",628763,2515052,3,24,11,2010,2,"M",6,NA,5,NA,NA,"BE",3,28,30,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",2,NA,"BE","N",NA,4,NA,NA,NA,3,"Y","N",31
"BE",629762,2519048,1,16,11,2010,34,"F",1,NA,1,NA,NA,"BE",2,34,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",20,NA,NA,NA,"BE",NA,NA,2,NA,NA,NA,2,"Y","N",21
"BE",633492,2533968,1,5,11,2010,54,"M",1,NA,5,NA,NA,"BE",1,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,"BE",NA,NA,2,NA,NA,NA,5,"Y","Y",15
"BE",636625,2546500,3,2,1,2011,4,"M",5,NA,3,NA,NA,"BE",3,4,32,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,"Y",3,NA,"BE",NA,NA,1,NA,NA,NA,0,"N","Y",4
"BE",637994,2551976,1,3,11,2010,84,"F",3,NA,1,NA,NA,"BE",2,39,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BE",NA,NA,1,NA,NA,NA,3,"Y","Y",8
"BE",642349,2569396,1,6,11,2010,56,"F",3,NA,4,NA,NA,"BE",2,56,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,"BE",NA,NA,1,NA,NA,NA,6,"N","Y",7
"BE",645379,2581516,1,8,11,2010,57,"F",1,NA,5,NA,NA,"BE",1,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",30,NA,NA,NA,"BE","N",NA,2,NA,NA,NA,1,"Y","N",54
"BE",645787,2583148,2,24,12,2010,17,"M",5,NA,3,NA,NA,"BE",4,17,20,52,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,"BE","N",NA,3,NA,NA,NA,5,"Y","N",18
"BE",649428,2597712,1,5,11,2010,72,"M",2,NA,3,NA,NA,"BE",2,72,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BE","N",NA,2,NA,NA,NA,5,"Y","Y",9
"BE",649802,2599208,1,28,10,2010,48,"M",1,NA,3,NA,NA,"BE",5,17,20,23,45,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,"BE","N",NA,1,NA,NA,NA,4,"Y","N",11
"BE",651226,2604904,3,15,11,2010,8,"M",5,NA,3,NA,NA,"BE",6,56,49,18,15,12,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,"Y",4,NA,"BE",NA,NA,2,NA,NA,NA,1,"Y","N",22
"BE",652965,2611860,3,28,10,2010,0,"M",3,NA,5,NA,NA,"BE",4,0,2,28,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,"BE",NA,NA,NA,NA,NA,NA,4,"Y","N",6
"BE",659083,2636332,1,8,11,2010,33,"M",1,NA,6,NA,NA,"BE",5,1,4,6,32,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",10,NA,NA,NA,"BE",NA,NA,1,NA,NA,NA,1,"Y","N",10
"BE",662605,2650420,1,17,11,2010,43,"F",1,NA,3,NA,NA,"BE",6,17,19,22,24,45,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",30,NA,NA,NA,"BE",NA,NA,2,NA,NA,NA,3,"Y","N",51
"BE",662679,2650716,1,7,11,2010,42,"F",1,NA,3,NA,NA,"BE",3,15,18,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,"BE","N",NA,1,NA,NA,NA,0,"N","Y",9
"BE",663437,2653748,1,28,11,2010,51,"M",1,NA,5,NA,NA,"BE",4,18,20,47,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,"BE",NA,NA,4,NA,NA,NA,0,"N","N",22
"BE",664572,2658288,1,23,10,2010,30,"F",1,NA,6,NA,NA,"BE",2,30,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,"BE",NA,NA,2,NA,NA,NA,6,"N","N",33
"BE",665108,2660432,1,25,10,2010,52,"F",1,NA,5,NA,NA,"BE",2,52,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,"BE",NA,NA,1,NA,NA,NA,1,"Y","N",10
"BE",665471,2661884,1,21,10,2010,30,"F",1,NA,6,NA,NA,"BE",3,31,1,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,"BE",NA,NA,1,NA,NA,NA,4,"Y","N",10
"BE",675532,2702128,1,4,10,2010,58,"M",1,NA,3,NA,NA,"BE",2,56,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,"BE",NA,NA,1,NA,NA,NA,4,"Y","N",8
"BE",677245,2708980,3,14,12,2010,0,"M",6,NA,5,NA,NA,"BE",3,23,27,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",2,NA,"BE",NA,NA,2,NA,NA,NA,2,"Y","N",3
"BE",683568,2734272,1,2,11,2010,48,"M",1,NA,5,NA,NA,"BE",2,10,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",20,NA,NA,NA,"BE",NA,NA,2,NA,NA,NA,2,"Y","Y",21
"BE",683661,2734644,1,1,11,2010,66,"F",2,NA,5,NA,NA,"BE",1,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BE",NA,NA,1,NA,NA,NA,1,"Y","Y",0
"BE",683960,2735840,1,27,10,2010,47,"F",1,NA,3,NA,NA,"BE",2,47,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",30,NA,NA,NA,"BE","N",NA,3,NA,NA,NA,3,"Y","N",62
"BE",684191,2736764,1,8,11,2010,65,"F",3,NA,2,NA,NA,"BE",2,66,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BE",NA,NA,NA,NA,NA,NA,1,"Y","N",14
"BE",687187,2748748,1,31,10,2010,62,"F",3,NA,5,NA,NA,"BE",2,62,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BE",NA,NA,1,NA,NA,NA,0,"N","Y",11
"BE",688896,2755584,3,2,11,2010,4,"F",5,NA,5,NA,NA,"BE",4,0,4,34,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,"Y",3,NA,"BE","N",NA,1,NA,NA,NA,2,"Y","Y",6
"BE",690022,2760088,1,5,11,2010,40,"M",1,NA,5,NA,NA,"BE",2,40,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,"BE",NA,NA,1,NA,NA,NA,5,"Y","Y",10
"BE",690218,2760872,1,6,11,2010,45,"M",6,NA,0,NA,NA,"BE",1,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,"BE",NA,NA,1,NA,NA,NA,4,"Y","Y",3
"BE",691231,2764924,1,15,11,2010,23,"M",1,NA,6,NA,NA,"BE",4,48,48,23,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,"BE",NA,NA,2,NA,NA,NA,1,"Y","N",9
"BE",694847,2779388,1,8,11,2010,52,"M",1,NA,5,NA,NA,"OT",4,52,48,20,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",50,NA,NA,NA,"OT",NA,NA,1,NA,NA,NA,1,"Y","N",61
"BE",697572,2790288,1,5,11,2010,77,"M",2,NA,2,NA,NA,"BE",2,77,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BE",NA,NA,1,NA,NA,NA,5,"Y","Y",4
"BE",699139,2796556,3,9,11,2010,2,"F",6,NA,3,NA,NA,"BE",4,2,7,35,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",2,NA,"BE",NA,NA,1,NA,NA,NA,2,"Y","N",5
"BE",699832,2799328,1,26,10,2010,36,"M",1,NA,3,NA,NA,"BE",6,3,6,8,10,33,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,"BE",NA,NA,1,NA,NA,NA,2,"Y","N",6
"BE",705053,2820212,1,28,10,2010,29,"M",1,NA,3,NA,NA,"BE",3,0,30,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,"BE",NA,NA,2,NA,NA,NA,4,"Y","N",22
"BE",706453,2825812,1,9,11,2010,37,"F",1,NA,6,NA,NA,"BE",2,36,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",30,NA,NA,NA,"BE",NA,NA,4,NA,NA,NA,2,"Y","N",40
"BE",712628,2850512,1,18,11,2010,54,"F",4,NA,3,NA,NA,"BE",2,54,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,"BE",NA,NA,1,NA,NA,NA,4,"Y","N",9
"BE",713613,2854452,1,22,1,2011,35,"M",1,NA,6,NA,NA,"BE",4,35,35,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,"BE",NA,NA,1,NA,NA,NA,6,"N","N",13
"BE",716531,2866124,1,18,11,2010,28,"M",1,NA,3,NA,NA,"EU",3,6,28,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",4,NA,NA,NA,"EU","N",NA,1,NA,NA,NA,4,"Y","N",6
"BE",717301,2869204,1,26,10,2010,53,"F",1,NA,3,NA,NA,"BE",2,58,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",45,NA,NA,NA,"BE",NA,NA,1,NA,NA,NA,2,"Y","N",62
"BE",717368,2869472,1,7,11,2010,54,"F",1,NA,3,NA,NA,"BE",2,54,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,"BE",NA,NA,1,NA,NA,NA,0,"N","Y",5
"BE",718005,2872020,1,24,11,2010,28,"M",1,NA,6,NA,NA,"BE",3,58,62,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,"BE",NA,NA,2,NA,NA,NA,3,"Y","N",16
"BE",720636,2882544,1,21,12,2010,22,"M",1,NA,3,NA,NA,"BE",5,20,21,22,46,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,"BE","N",NA,1,NA,NA,NA,2,"Y","N",6
"BE",721660,2886640,3,17,12,2010,5,"M",5,NA,4,NA,NA,"BE",3,5,36,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,"Y",3,NA,"BE","N",NA,2,NA,NA,NA,5,"Y","N",15
"BE",728399,2913596,1,9,11,2010,79,"F",3,NA,1,NA,NA,"EU",1,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU",NA,NA,1,NA,NA,NA,2,"Y","N",7
"BE",729271,2917084,1,18,11,2010,23,"F",1,NA,6,NA,NA,"BE",4,20,22,23,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,"BE",NA,NA,1,NA,NA,NA,4,"Y","N",28
"BE",730678,2922712,1,17,11,2010,44,"F",1,NA,5,NA,NA,"BE",4,46,44,18,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,"BE",NA,NA,1,NA,NA,NA,3,"Y","N",13
"BE",731030,2924120,3,14,11,2010,1,"M",6,NA,3,NA,NA,"BE",3,1,29,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",2,NA,"BE",NA,NA,1,NA,NA,NA,0,"N","N",8
"BE",731543,2926172,3,6,12,2010,4,"M",5,NA,1,NA,NA,"BE",5,2,4,6,29,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,"Y",3,NA,"BE",NA,NA,3,NA,NA,NA,1,"Y","N",12
"BE",731775,2927100,1,3,11,2010,51,"M",1,NA,NA,NA,NA,"BE",6,51,47,26,23,19,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",6,NA,NA,NA,"BE","N",NA,1,NA,NA,NA,3,"Y","Y",19
"BE",735293,2941172,1,19,12,2010,31,"F",1,NA,5,NA,NA,"BE",3,31,41,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,"BE","N",NA,1,NA,NA,NA,0,"N","N",4
"BE",737602,2950408,1,27,10,2010,20,"F",5,NA,3,NA,NA,"BE",6,42,48,19,19,16,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",15,NA,NA,NA,"BE",NA,NA,2,NA,NA,NA,3,"Y","N",29
"BE",739384,2957536,1,13,11,2010,43,"M",1,NA,5,NA,NA,"BE",2,43,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",23,NA,NA,NA,"BE",NA,NA,1,NA,NA,NA,6,"N","N",30
"BE",739663,2958652,1,19,11,2010,46,"F",1,NA,5,NA,NA,"BE",4,18,21,23,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",20,NA,NA,NA,"BE",NA,NA,2,NA,NA,NA,5,"Y","N",25
"BE",740381,2961524,1,5,12,2010,73,"M",2,NA,3,NA,NA,"BE",2,73,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BE",NA,NA,NA,NA,NA,NA,0,"N","N",5
"BE",746979,2987916,1,4,11,2010,78,"M",2,NA,4,NA,NA,"BE",2,73,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BE",NA,NA,1,NA,NA,NA,4,"Y","Y",4
"BE",747173,2988692,3,10,11,2010,6,"M",5,NA,6,NA,NA,"BE",4,6,9,51,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,"Y",4,NA,"BE","N",NA,3,NA,NA,NA,3,"Y","N",47
"BE",748866,2995464,1,4,11,2010,41,"F",1,NA,3,NA,NA,"BE",4,13,15,41,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,"BE",NA,NA,1,NA,NA,NA,4,"Y","Y",6
"BE",749014,2996056,2,26,10,2010,13,"M",5,NA,1,NA,NA,"BE",3,13,51,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,"BE",NA,NA,4,NA,NA,NA,2,"Y","N",17
"BE",751429,3005716,1,17,11,2010,28,"M",1,NA,6,NA,NA,"BE",2,28,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,"BE",NA,NA,2,NA,NA,NA,3,"Y","N",17
"BE",754840,3019360,3,26,10,2010,12,"M",5,NA,5,NA,NA,"BE",4,12,24,50,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,"Y",4,NA,"BE","N",NA,3,NA,NA,NA,2,"Y","N",28
"BE",755264,3021056,2,27,10,2010,13,"M",5,NA,1,NA,NA,"BE",3,13,13,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,"BE","N",NA,2,NA,NA,NA,3,"Y","N",26
"BE",756792,3027168,3,17,11,2010,11,"F",5,NA,5,NA,NA,"BE",4,41,41,13,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,"Y",4,NA,"BE","N",NA,2,NA,NA,NA,3,"Y","N",39
"BE",759592,3038368,1,17,11,2010,40,"F",1,NA,5,NA,NA,"OT",4,13,18,39,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,"OT",NA,NA,1,NA,NA,NA,3,"Y","N",12
"BE",760289,3041156,1,7,11,2010,24,"M",5,NA,6,NA,NA,"BE",4,14,24,53,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,"BE",NA,NA,1,NA,NA,NA,0,"N","Y",9
"BE",764060,3056240,1,21,12,2010,18,"M",5,NA,3,NA,NA,"BE",5,16,18,20,47,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,"BE","N",NA,1,NA,NA,NA,2,"Y","N",20
"BE",766042,3064168,1,9,12,2010,22,"F",5,NA,5,NA,NA,"BE",4,22,23,54,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,"BE",NA,NA,1,NA,NA,NA,4,"Y","N",8
"BE",767949,3071796,1,16,11,2010,47,"F",1,NA,5,NA,NA,"BE",5,18,21,23,47,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",10,NA,NA,NA,"BE","N",NA,1,NA,NA,NA,2,"Y","N",20
"BE",771592,3086368,1,24,12,2010,21,"M",5,NA,5,NA,NA,"BE",6,9,10,21,25,45,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,"BE","N",NA,1,NA,NA,NA,5,"Y","N",12
"BE",772138,3088552,1,6,11,2010,59,"F",3,NA,4,NA,NA,"BE",2,59,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,"BE",NA,NA,1,NA,NA,NA,6,"N","Y",44
"BE",774736,3098944,1,15,11,2010,42,"F",1,NA,3,NA,NA,"BE",4,14,17,42,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,"BE",NA,NA,1,NA,NA,NA,1,"Y","N",7
"BE",775087,3100348,3,16,11,2010,9,"M",5,NA,3,NA,NA,"BE",4,6,9,35,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,"Y",4,NA,"BE","N",NA,1,NA,NA,NA,2,"Y","N",6
"BE",781682,3126728,1,29,10,2010,32,"F",1,NA,3,NA,NA,"BE",2,3,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",10,NA,NA,NA,"BE",NA,NA,1,NA,NA,NA,5,"Y","N",12
"BE",787147,3148588,1,3,11,2010,34,"F",1,NA,2,NA,NA,"BE",4,9,14,34,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",12,NA,NA,NA,"BE",NA,NA,2,NA,NA,NA,3,"Y","Y",11
"BE",787539,3150156,1,1,11,2010,62,"F",3,NA,4,NA,NA,"BE",2,63,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BE",NA,NA,1,NA,NA,NA,1,"Y","Y",5
"BE",790064,3160256,1,1,11,2010,20,"M",5,NA,3,NA,NA,"BE",3,20,48,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,"BE",NA,NA,2,NA,NA,NA,1,"Y","Y",18
"BE",791137,3164548,3,26,10,2010,9,"F",5,NA,3,NA,NA,"BE",3,9,40,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,"Y",4,NA,"BE","N",NA,2,NA,NA,NA,2,"Y","N",30
"BE",792729,3170916,1,3,11,2010,44,"F",1,NA,3,NA,NA,"BE",2,21,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",200,NA,NA,NA,"BE","N",NA,3,NA,NA,NA,3,"Y","Y",214
"BE",793721,3174884,1,6,11,2010,35,"F",1,NA,5,NA,NA,"BE",2,56,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",10,NA,NA,NA,"BE",NA,NA,1,NA,NA,NA,6,"N","Y",10
"BE",797468,3189872,3,15,11,2010,3,"F",5,NA,3,NA,NA,"BE",4,3,5,30,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,"Y",3,NA,"BE",NA,NA,NA,NA,NA,NA,1,"Y","N",29
"BE",797667,3190668,1,28,10,2010,36,"M",1,NA,6,NA,NA,"BE",5,2,6,8,34,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,"BE","N",NA,1,NA,NA,NA,4,"Y","N",13
