"local_id","global_id","country","cnt_count","cnt_age_l","cnt_age_r","cnt_age_mean","cnt_sex","cnt_home","cnt_work","cnt_school","cnt_kindergarden","cnt_transport","cnt_leisure","cnt_otherplace","cnt_otherplace_family","cnt_otherplace_grandparents","cnt_loc_missing","cnt_frequency","cnt_touch","cnt_duration","cnt_hh_member"
5966,23864,"BE",25,NA,NA,56,"M",0,0,0,FALSE,0,0,1,0,0,FALSE,3,"N",4,"N"
5966,23864,"BE",25,60,70,65,"M",0,0,0,FALSE,0,0,1,0,0,FALSE,3,"N",4,"N"
5966,23864,"BE",25,45,50,47.5,"M",0,0,0,FALSE,0,0,1,0,0,FALSE,3,"N",4,"N"
5966,23864,"BE",25,30,40,35,"F",0,0,0,FALSE,0,0,1,0,0,FALSE,3,"N",4,"N"
5966,23864,"BE",25,60,65,62.5,"M",0,0,0,FALSE,0,0,1,0,0,FALSE,3,"N",4,"N"
5966,23864,"BE",25,65,70,67.5,"F",0,0,0,FALSE,0,0,1,0,0,FALSE,3,"N",4,"N"
5966,23864,"BE",25,30,40,35,"F",0,0,0,FALSE,0,0,1,0,0,FALSE,3,"N",4,"N"
5966,23864,"BE",25,50,60,55,"M",0,0,0,FALSE,0,0,1,0,0,FALSE,3,"N",4,"N"
5966,23864,"BE",25,40,50,45,"M",0,0,0,FALSE,0,0,1,0,0,FALSE,3,"N",4,"N"
5966,23864,"BE",25,30,40,35,"F",0,0,0,FALSE,0,0,1,0,0,FALSE,3,"N",4,"N"
5966,23864,"BE",25,55,60,57.5,"M",0,0,0,FALSE,0,0,1,0,0,FALSE,3,"N",4,"N"
5966,23864,"BE",25,NA,NA,58,"M",0,0,0,FALSE,0,0,1,0,0,FALSE,3,"N",4,"N"
6286,25144,"BE",30,NA,NA,81,"F",1,0,0,FALSE,0,0,0,0,0,FALSE,1,"Y",4,"N"
6286,25144,"BE",30,NA,NA,82,"M",1,0,0,FALSE,0,0,0,0,0,FALSE,1,"Y",4,"N"
6286,25144,"BE",30,NA,NA,52,"F",1,0,0,FALSE,0,0,0,0,0,FALSE,1,"Y",4,"N"
6286,25144,"BE",30,18,22,20,"F",0,0,0,FALSE,0,0,1,0,0,FALSE,3,"N",2,"N"
6286,25144,"BE",30,40,45,42.5,"F",0,0,0,FALSE,0,0,1,0,0,FALSE,2,"N",2,"N"
6286,25144,"BE",30,20,25,22.5,"F",0,0,0,FALSE,0,0,1,0,0,FALSE,2,"N",2,"N"
6286,25144,"BE",30,40,45,42.5,"F",0,0,0,FALSE,0,0,1,0,0,FALSE,3,"N",2,"N"
6286,25144,"BE",30,NA,NA,65,"M",0,0,1,FALSE,0,0,0,0,0,FALSE,3,"N",1,"N"
6286,25144,"BE",30,NA,NA,42,"M",0,0,0,FALSE,0,0,1,0,0,FALSE,2,"N",2,"N"
6286,25144,"BE",30,NA,NA,80,"F",0,0,0,FALSE,0,1,0,0,0,FALSE,2,"Y",3,"N"
6286,25144,"BE",30,NA,NA,56,"F",0,0,0,FALSE,0,1,0,0,0,FALSE,2,"Y",3,"N"
6286,25144,"BE",30,NA,NA,60,"M",0,0,0,FALSE,0,1,0,0,0,FALSE,3,"Y",3,"N"
6286,25144,"BE",30,40,45,42.5,"F",0,0,0,FALSE,0,1,0,0,0,FALSE,5,"N",2,"N"
6286,25144,"BE",30,40,45,42.5,"M",0,0,0,FALSE,0,1,0,0,0,FALSE,5,"N",2,"N"
6286,25144,"BE",30,NA,NA,48,"F",0,0,0,FALSE,0,0,1,0,0,FALSE,2,"Y",5,"N"
6286,25144,"BE",30,NA,NA,48,"M",0,0,0,FALSE,0,0,1,0,0,FALSE,2,"Y",5,"N"
6286,25144,"BE",30,NA,NA,46,"M",0,0,0,FALSE,0,0,1,0,0,FALSE,4,"Y",5,"N"
6286,25144,"BE",30,NA,NA,46,"F",0,0,0,FALSE,0,0,1,0,0,FALSE,4,"Y",5,"N"
6286,25144,"BE",30,NA,NA,46,"F",0,0,0,FALSE,0,0,1,0,0,FALSE,4,"Y",5,"N"
6286,25144,"BE",30,NA,NA,50,"F",0,0,0,FALSE,0,0,1,0,0,FALSE,4,"Y",5,"N"
6286,25144,"BE",30,NA,NA,49,"M",0,0,0,FALSE,0,0,1,0,0,FALSE,5,"Y",5,"N"
6286,25144,"BE",30,NA,NA,52,"M",0,0,0,FALSE,0,0,1,0,0,FALSE,4,"Y",5,"N"
6286,25144,"BE",30,NA,NA,54,"M",0,0,0,FALSE,0,0,1,0,0,FALSE,4,"Y",5,"N"
6286,25144,"BE",30,NA,NA,9,"M",0,0,0,FALSE,0,0,1,0,0,FALSE,4,"Y",4,"N"
6286,25144,"BE",30,NA,NA,7,"F",0,0,0,FALSE,0,0,1,0,0,FALSE,4,"Y",4,"N"
6286,25144,"BE",30,NA,NA,17,"M",0,0,0,FALSE,0,0,1,0,0,FALSE,5,"Y",4,"N"
6286,25144,"BE",30,NA,NA,15,"M",0,0,0,FALSE,0,0,1,0,0,FALSE,5,"Y",4,"N"
